,Unnamed: 0,code,base_price,delta,today_open,today_close,today_high,today_low,tomorrow_open,tomorrow_close,tomorrow_high,tomorrow_low,buy_flag
84,486,002162,4.12,0.06790623813867569,2.8309943675994877,2.8547143936157227,2.8981311321258545,2.774308443069458,2.8838989734649663,2.9069807529449463,2.9627013206481934,2.826401233673096,1
86,1255,300061,13.93,0.06778086721897125,9.590242385864258,9.651925086975098,9.842718124389648,9.35754108428955,9.718792915344238,9.78329086303711,9.991803169250488,9.502410888671877,1
95,2357,603012,6.81,0.06701621413230896,6.327191352844237,6.384896755218506,6.48903226852417,6.215395450592041,6.472549915313722,6.526857852935791,6.631927967071532,6.373415470123291,1
102,1198,002776,19.3,0.06624677777290344,17.810199737548828,17.996835708618164,18.38772773742676,17.438421249389652,18.161884307861328,18.303709030151367,18.593660354614254,17.891115188598633,1
111,316,600462,4.71,0.06546632200479507,4.277266025543213,4.306274890899658,4.395137310028076,4.181063652038573,4.328513622283936,4.359531879425049,4.454782485961914,4.2350425720214835,1
125,1115,000810,8.32,0.06428854167461395,8.741386413574219,8.801894187927246,9.010530471801758,8.525274276733397,8.779729843139647,8.849588394165039,9.073351860046387,8.563888549804688,1
126,1976,300030,8.3,0.06428002566099167,7.756266117095947,7.821471691131593,7.988839149475098,7.593780994415282,7.867863178253174,7.921604633331299,8.0819091796875,7.723958969116211,1
129,2035,600239,5.006,0.06417494267225267,4.515226364135742,4.543031215667725,4.635234832763672,4.4196391105651855,4.600783824920653,4.635712146759033,4.703269481658936,4.521698474884033,1
132,739,600633,10.28,0.06360518932342529,7.316729545593263,7.377535343170166,7.469738960266112,7.185744285583496,7.46755313873291,7.52959394454956,7.642795085906982,7.343885898590088,1
133,2256,600543,8.99,0.06350617110729218,8.225464820861816,8.293018341064451,8.446443557739258,8.05606746673584,8.305578231811522,8.377775192260742,8.56767749786377,8.119841575622559,1
137,137,000928,5.18,0.06329182535409927,4.919341087341309,4.94740629196167,5.071611881256104,4.80134391784668,4.965166568756104,4.991105079650879,5.10522985458374,4.856184482574463,1
139,585,000155,7.02,0.06316392868757248,5.9954586029052725,6.041725158691406,6.155956745147705,5.870471477508545,6.070010185241699,6.116848945617676,6.241273403167725,5.944145679473878,1
140,3034,300687,32.684,0.06311806291341783,25.09125900268555,25.300352096557614,25.717220306396484,24.604232788085934,25.456239700317386,25.664106369018555,26.15720367431641,24.946430206298828,1
141,1019,600482,23.94,0.06302006542682648,17.410480499267578,17.522436141967773,17.792387008666992,17.098751068115234,17.81901741027832,17.909442901611328,18.176315307617188,17.519601821899414,1
142,2271,603919,16.891,0.06295248866081238,15.737371444702148,15.845227241516113,16.097894668579098,15.49057388305664,16.110868453979492,16.204225540161133,16.465744018554688,15.844968795776367,1
146,2723,000672,9.616,0.06271311640739441,8.788590431213379,8.853941917419434,9.020411491394043,8.606104850769043,8.879133224487305,8.954646110534668,9.14582061767578,8.691113471984862,1
