index,amount,change,date,price,time,type,volume
230,3247,0.01,2018-09-03,8.12,09:44:19,买盘,4
231,9744,0.0,2018-09-03,8.12,09:44:22,买盘,12
232,12165,-0.01,2018-09-03,8.11,09:44:25,卖盘,15
233,46968,-0.02,2018-09-03,8.09,09:44:28,卖盘,58
234,3244,0.02,2018-09-03,8.11,09:44:34,中性盘,4
235,17823,0.0,2018-09-03,8.11,09:44:37,买盘,22
236,8110,0.0,2018-09-03,8.11,09:44:40,买盘,10
237,10543,0.0,2018-09-03,8.11,09:44:43,买盘,13
238,1622,0.0,2018-09-03,8.11,09:44:46,买盘,2
239,47096,0.01,2018-09-03,8.12,09:44:49,买盘,58
240,2436,0.0,2018-09-03,8.12,09:44:52,卖盘,3
241,6496,0.0,2018-09-03,8.12,09:44:58,卖盘,8
242,4866,-0.01,2018-09-03,8.11,09:45:04,卖盘,6
243,115973,0.0,2018-09-03,8.11,09:45:10,卖盘,143
244,1622,0.0,2018-09-03,8.11,09:45:13,买盘,2
245,4055,0.0,2018-09-03,8.11,09:45:16,买盘,5
246,2430,-0.01,2018-09-03,8.1,09:45:19,卖盘,3
247,2432,0.01,2018-09-03,8.11,09:45:22,买盘,3
248,1622,0.0,2018-09-03,8.11,09:45:31,买盘,2
249,8100,-0.01,2018-09-03,8.1,09:45:33,卖盘,10
250,811,0.01,2018-09-03,8.11,09:45:36,买盘,1
251,3244,0.0,2018-09-03,8.11,09:45:40,买盘,4
252,4050,-0.01,2018-09-03,8.1,09:45:43,卖盘,5
253,37214,-0.01,2018-09-03,8.09,09:45:46,卖盘,46
254,809,0.0,2018-09-03,8.09,09:45:49,买盘,1
255,4852,0.0,2018-09-03,8.09,09:45:52,买盘,6
256,1618,0.0,2018-09-03,8.09,09:45:55,买盘,2
257,4045,0.0,2018-09-03,8.09,09:46:04,买盘,5
258,4045,0.0,2018-09-03,8.09,09:46:06,买盘,5
259,3236,0.0,2018-09-03,8.09,09:46:12,买盘,4
260,11326,0.0,2018-09-03,8.09,09:46:16,买盘,14
261,9706,-0.01,2018-09-03,8.08,09:46:19,卖盘,12
262,3236,0.01,2018-09-03,8.09,09:46:22,买盘,4
263,810,0.01,2018-09-03,8.1,09:46:34,买盘,1
264,1618,-0.01,2018-09-03,8.09,09:46:37,卖盘,2
265,11330,0.01,2018-09-03,8.1,09:46:40,买盘,14
266,9722,0.01,2018-09-03,8.11,09:46:45,买盘,12
267,4055,0.0,2018-09-03,8.11,09:46:52,买盘,5
268,26736,-0.01,2018-09-03,8.1,09:46:54,卖盘,33
269,809,-0.01,2018-09-03,8.09,09:46:58,卖盘,1
270,9708,0.0,2018-09-03,8.09,09:47:03,卖盘,12
271,38023,0.0,2018-09-03,8.09,09:47:06,买盘,47
272,1616,-0.01,2018-09-03,8.08,09:47:10,卖盘,2
273,3236,0.01,2018-09-03,8.09,09:47:13,买盘,4
274,65452,-0.02,2018-09-03,8.07,09:47:16,卖盘,81
275,10504,0.01,2018-09-03,8.08,09:47:22,卖盘,13
276,4040,0.0,2018-09-03,8.08,09:47:25,买盘,5
277,88196,0.02,2018-09-03,8.1,09:47:34,买盘,109
278,15338,-0.03,2018-09-03,8.07,09:47:37,卖盘,19
279,23407,0.0,2018-09-03,8.07,09:47:40,卖盘,29
280,1620,0.03,2018-09-03,8.1,09:47:49,买盘,2
281,810,0.0,2018-09-03,8.1,09:47:52,买盘,1
282,4050,0.0,2018-09-03,8.1,09:47:54,买盘,5
283,3240,0.0,2018-09-03,8.1,09:48:04,买盘,4
284,16200,0.0,2018-09-03,8.1,09:48:07,买盘,20
285,12124,-0.02,2018-09-03,8.08,09:48:13,卖盘,15
286,3240,0.02,2018-09-03,8.1,09:48:19,买盘,4
287,8889,-0.02,2018-09-03,8.08,09:48:22,卖盘,11
288,1616,0.0,2018-09-03,8.08,09:48:24,买盘,2
289,4040,0.0,2018-09-03,8.08,09:48:27,卖盘,5
290,17756,-0.01,2018-09-03,8.07,09:48:30,卖盘,22
291,4035,0.0,2018-09-03,8.07,09:48:34,卖盘,5
292,20986,0.01,2018-09-03,8.08,09:48:40,买盘,26
293,61366,0.0,2018-09-03,8.08,09:48:46,买盘,76
